original_title,combined_features,title
Lucky: No Time For Love (2005),action adventure drama musical romance thriller war year2005,luckynotimeforlove
Black Butler (2014),action adventure crime drama fantasy horror mystery year2014,blackbutler
Shrek (2001),adventure animation children comedy fantasy romance year2001,shrek
She (1965),action adventure drama fantasy horror romance scifi year1965,she
"Chipmunk Adventure, The (1987)",adventure animation children comedy fantasy musical year1987,thechipmunkadventure
"Hero: Love Story of a Spy, The (2003)",action adventure drama musical romance thriller war year2003,theherolovestoryofaspy
Shrek 2 (2004),adventure animation children comedy musical romance year2004,shrek2
Puss in Boots (Nagagutsu o haita neko) (1969),adventure animation children comedy fantasy romance year1969,pussinbootsnagagutsuohaitaneko
Gnomeo & Juliet (2011),adventure animation children comedy fantasy romance year2011,gnomeojuliet
Young Sherlock Holmes (1985),action adventure children fantasy mystery thriller year1985,youngsherlockholmes
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)",action adventure animation children comedy fantasy year1976,twelvetasksofasterixthelesdouzetravauxdastrix
Frozen (2013),adventure animation comedy fantasy musical romance year2013,frozen
Pulse (2006),action drama fantasy horror mystery scifi thriller year2006,pulse
Ice Age: Dawn of the Dinosaurs (2009),action adventure animation children comedy romance year2009,iceagedawnofthedinosaurs
Rango (2011),action adventure animation children comedy western year2011,rango
An American Tail: The Mystery of the Night Monster (1999),adventure animation children fantasy mystery scifi year1999,anamericantailthemysteryofthenightmonster
Felix the Cat: The Movie (1988),adventure animation children fantasy musical scifi year1988,felixthecatthemovie
TMNT (Teenage Mutant Ninja Turtles) (2007),action adventure animation children comedy fantasy year2007,tmntteenagemutantninjaturtles
The Lego Movie (2014),action adventure animation children comedy fantasy year2014,thelegomovie
Svidd Neger (2003),comedy crime drama horror mystery romance thriller year2003,sviddneger
Space Jam (1996),adventure animation children comedy fantasy scifi year1996,spacejam
Pokémon the Movie: Genesect and the Legend Awakened (2013),action adventure animation children fantasy scifi year2013,pokmonthemoviegenesectandthelegendawakened
Inside Out (2015),adventure animation children comedy drama fantasy year2015,insideout
Detective Conan: Crimson Love Letter (2017),action adventure animation children crime mystery year2017,detectiveconancrimsonloveletter
Jack and the Cuckoo-Clock Heart (Jack et la mécanique du coeur) (2013),adventure animation drama fantasy musical romance year2013,jackandthecuckooclockheartjacketlamcaniqueducoeur
Home (2015),adventure animation children comedy fantasy scifi year2015,home
Pokémon the Movie: I Choose You! (2017),adventure animation children comedy drama fantasy year2017,pokmonthemovieichooseyou
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),action adventure animation children fantasy scifi year1986,laputacastleintheskytenknoshirorapyuta
Sherlock Gnomes (2018),animation children comedy fantasy mystery romance year2018,sherlockgnomes
Sholay (1975),action adventure comedy musical romance thriller year1975,sholay
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),adventure animation children comedy fantasy imax year2010,shrekforeverafterakashrekthefinalchapter
Mind Game (2004),adventure animation comedy fantasy romance scifi year2004,mindgame
Ratchet & Clank (2016),action adventure animation children comedy scifi year2016,ratchetclank
Toy Story 3 (2010),adventure animation children comedy fantasy imax year2010,toystory3
Space Chicken (2017),action adventure animation children comedy scifi year2017,spacechicken
Free Birds (2013),action adventure animation children comedy scifi year2013,freebirds
"Ant Bully, The (2006)",adventure animation children comedy fantasy imax year2006,theantbully
Chicken Little (2005),action adventure animation children comedy scifi year2005,chickenlittle
Meet the Robinsons (2007),action adventure animation children comedy scifi year2007,meettherobinsons
Cloak & Dagger (1984),action adventure children crime mystery thriller year1984,cloakdagger
Berlin Tunnel 21 (1981),action comedy documentary drama romance thriller year1981,berlintunnel21
Naruto Shippuden the Movie: Blood Prison (2011),action animation comedy horror mystery thriller year2011,narutoshippudenthemoviebloodprison
Beauty and the Beast (1991),animation children fantasy musical romance imax year1991,beautyandthebeast
Northwest Passage (1940),action adventure drama romance thriller western year1940,northwestpassage
Valiant (2005),adventure animation children comedy fantasy war year2005,valiant
Prince Charming (2001),adventure children comedy fantasy romance scifi year2001,princecharming
"Lion King, The (1994)",adventure animation children drama musical imax year1994,thelionking
Kung Fu Panda 2 (2011),action adventure animation children comedy imax year2011,kungfupanda2
"Mummy, The (1999)",action adventure comedy fantasy horror thriller year1999,themummy
Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),action adventure animation comedy crime mystery year1979,lupiniiithecastleofcagliostrorupansanseikariosutoronoshiro
"Whip Hand, The (1951)",action adventure crime drama scifi thriller war year1951,thewhiphand
"Island of Dr. Moreau, The (1977)",adventure fantasy horror romance scifi thriller year1977,theislandofdrmoreau
Madagascar: Escape 2 Africa (2008),action adventure animation children comedy imax year2008,madagascarescape2africa
Mister Magoo's Christmas Carol (1962),animation children comedy drama fantasy musical year1962,mistermagooschristmascarol
Cirque du Freak: The Vampire's Assistant (2009),action adventure comedy fantasy horror thriller year2009,cirquedufreakthevampiresassistant
Manichitrathazhu (1993),children drama fantasy horror mystery thriller year1993,manichitrathazhu
Super Mario Bros. (1993),action adventure children comedy fantasy scifi year1993,supermariobros
"Cave, The (2005)",action adventure horror mystery scifi thriller year2005,thecave
Underdog (2007),action adventure children comedy fantasy scifi year2007,underdog
The Last Sharknado: It's About Time (2018),action adventure comedy fantasy scifi thriller year2018,thelastsharknadoitsabouttime
Joseph Andrews (1977),action adventure comedy drama romance thriller year1977,josephandrews
Lady on a Train (1945),comedy crime filmnoir mystery romance thriller year1945,ladyonatrain
Sherlock Holmes: A Game of Shadows (2011),action adventure comedy crime mystery thriller year2011,sherlockholmesagameofshadows
Naruto the Movie: Legend of the Stone of Gelel (2005),adventure animation comedy drama fantasy scifi year2005,narutothemovielegendofthestoneofgelel
Dragonheart 2: A New Beginning (2000),action adventure comedy drama fantasy thriller year2000,dragonheart2anewbeginning
Maximum Ride (2016),action adventure comedy fantasy scifi thriller year2016,maximumride
2012 Doomsday (2008),action adventure fantasy horror scifi thriller year2008,212doomsday
Hellboy Animated: Blood and Iron (2007),action animation fantasy horror scifi thriller year2007,hellboyanimatedbloodandiron
"Stunt Man, The (1980)",action adventure comedy drama romance thriller year1980,thestuntman
Kingsglaive: Final Fantasy XV (2016),action adventure animation drama fantasy scifi year2016,kingsglaivefinalfantasyxv
The Stone Council (2006),adventure crime drama fantasy mystery thriller year2006,thestonecouncil
Inception (2010),action crime drama mystery scifi thriller imax year2010,inception
"Chase, The (1994)",action adventure comedy crime romance thriller year1994,thechase
The House with a Clock in Its Walls (2018),children fantasy horror mystery scifi thriller year2018,thehousewithaclockinitswalls
Wizards of Waverly Place: The Movie (2009),adventure children comedy drama fantasy scifi year2009,wizardsofwaverlyplacethemovie
"Glamorous Life of Sachiko Hanai, The (Hatsujô kateikyôshi: sensei no aijiru) (2003)",action comedy drama fantasy mystery scifi war year2003,glamorouslifeofsachikohanaithehatsujkateikyshisenseinoaijiru
"Seven-Per-Cent Solution, The (1976)",adventure comedy crime drama mystery thriller year1976,thesevenpercentsolution
"Getaway, The (1994)",action adventure crime drama romance thriller year1994,thegetaway
Under the Mountain (2009),action adventure children drama fantasy scifi year2009,underthemountain
I Witness (2003),action adventure crime drama mystery thriller year2003,iwitness
Foxfire (1955),action adventure comedy drama romance western year1955,foxfire
Christmas Town (2008),action children comedy drama fantasy thriller year2008,christmastown
Charlie Chan in Panama (1940),adventure comedy crime drama mystery thriller year1940,charliechaninpanama
Big Bad (2016),action adventure comedy horror scifi thriller year2016,bigbad
Rough Cut (1980),action adventure comedy crime mystery romance year1980,roughcut
Gamera: Guardian of the Universe (1995),action adventure drama fantasy scifi thriller year1995,gameraguardianoftheuniverse
Future-Kill (1985),action adventure comedy horror scifi thriller year1985,futurekill
"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)",action adventure crime drama mystery thriller year1968,honoramongthievesadieulamifarewellfriend
Raffles (1939),adventure comedy crime drama romance thriller year1939,raffles
Lost Highway (1997),crime drama fantasy filmnoir mystery romance year1997,losthighway
Soulkeeper (2001),action adventure comedy fantasy horror scifi year2001,soulkeeper
"Sound of Insects, The (2009)",adventure documentary drama mystery thriller year2009,thesoundofinsects
James and the Giant Peach (1996),adventure animation children fantasy musical year1996,jamesandthegiantpeach
Nocturna (2007),adventure animation children fantasy mystery year2007,nocturna
Quest for a Heart (Röllin sydän) (2007),adventure animation children fantasy musical year2007,questforaheartrllinsydn
The 39 Steps (1959),action adventure comedy crime drama thriller year1959,the39steps
The Wrecking Crew (1968),action adventure comedy crime drama thriller year1968,thewreckingcrew
Alice in Wonderland (1951),adventure animation children fantasy musical year1951,aliceinwonderland
Vampires in Havana (1985),action animation comedy fantasy horror scifi year1985,vampiresinhavana
"Rudolph, the Red-Nosed Reindeer (1964)",adventure animation children fantasy musical year1964,rudolphtherednosedreindeer
The Man Called Flintstone (1966),adventure animation children mystery romance year1966,themancalledflintstone
"American Tail: Fievel Goes West, An (1991)",adventure animation children musical western year1991,anamericantailfievelgoeswest
Night Watch (Nochnoy dozor) (2004),action fantasy horror mystery scifi thriller year2004,nightwatchnochnoydozor
Quest for Camelot (1998),adventure animation children fantasy musical year1998,questforcamelot
Harry Potter and the Deathly Hallows: Part 2 (2011),action adventure drama fantasy mystery imax year2011,harrypotterandthedeathlyhallowspart2
Aladdin (1992),adventure animation children comedy fantasy year1992,aladdin
Megamind (2010),action animation children comedy scifi imax year2010,megamind
The Magic Crystal (2011),adventure animation children comedy fantasy year2011,themagiccrystal
Hercules (1997),adventure animation children comedy musical year1997,hercules
Pokémon: Spell of the Unown (2000),action adventure animation children fantasy year2000,pokmonspelloftheunown
"Groundstar Conspiracy, The (1972)",action crime mystery romance scifi thriller year1972,thegroundstarconspiracy
"Adventures of Rocky and Bullwinkle, The (2000)",adventure animation children comedy fantasy year2000,theadventuresofrockyandbullwinkle
Turbo (2013),adventure animation children comedy fantasy year2013,turbo
Moana (2016),adventure animation children comedy fantasy year2016,moana
"Emperor's New Groove, The (2000)",adventure animation children comedy fantasy year2000,theemperorsnewgroove
Spreading Darkness (2017),comedy crime drama fantasy mystery thriller year2017,spreadingdarkness
"Hey There, It's Yogi Bear (1964)",adventure animation children comedy romance year1964,heythereitsyogibear
Here Comes the Grump (2018),adventure animation children comedy fantasy year2018,herecomesthegrump
"Boxtrolls, The (2014)",adventure animation children comedy fantasy year2014,theboxtrolls
DuckTales: The Movie - Treasure of the Lost Lamp (1990),adventure animation children comedy fantasy year1990,ducktalesthemovietreasureofthelostlamp
Olaf's Frozen Adventure (2017),adventure animation children comedy fantasy year2017,olafsfrozenadventure
Safehouse (2008),action crime drama mystery romance thriller year2008,safehouse
Tangled: Before Ever After (2017),adventure animation children comedy fantasy year2017,tangledbeforeeverafter
Toy Story (1995),adventure animation children comedy fantasy year1995,toystory
Trolls Holiday (2017),adventure animation children comedy fantasy year2017,trollsholiday
"Monsters, Inc. (2001)",adventure animation children comedy fantasy year2001,monstersinc
Puss in Book: Trapped in an Epic Tale (2017),adventure animation children comedy fantasy year2017,pussinbooktrappedinanepictale
Toy Story Toons: Hawaiian Vacation (2011),adventure animation children comedy fantasy year2011,toystorytoonshawaiianvacation
Penguin Highway (2018),adventure animation children comedy fantasy year2018,penguinhighway
Oliver & Company (1988),adventure animation children comedy musical year1988,olivercompany
Robin Hood (1973),adventure animation children comedy musical year1973,robinhood
Frozen II (2019),adventure animation children comedy fantasy year2019,frozenii
Say Nothing (2001),action drama mystery romance scifi thriller year2001,saynothing
Young Detective Dee: Rise of the Sea Dragon (Di Renjie: Shen du long wang) (2013),action adventure drama fantasy mystery imax year2013,youngdetectivedeeriseoftheseadragondirenjieshendulongwang
Antz (1998),adventure animation children comedy fantasy year1998,antz
"Wild, The (2006)",adventure animation children comedy fantasy year2006,thewild
Toy Story 2 (1999),adventure animation children comedy fantasy year1999,toystory2
Toy Story Toons: Small Fry (2011),adventure animation children comedy fantasy year2011,toystorytoonssmallfry
"Tale of Despereaux, The (2008)",adventure animation children comedy fantasy year2008,thetaleofdespereaux
"Chill Out, Scooby-Doo! (2007)",action adventure animation children mystery year2007,chilloutscoobydoo
Shrek the Third (2007),adventure animation children comedy fantasy year2007,shrekthethird
Brother Bear 2 (2006),adventure animation children comedy fantasy year2006,brotherbear2
The Good Dinosaur (2015),adventure animation children comedy fantasy year2015,thegooddinosaur
Asterix and the Vikings (Astérix et les Vikings) (2006),adventure animation children comedy fantasy year2006,asterixandthevikingsastrixetlesvikings
Deal of a Lifetime (1999),children comedy drama fantasy romance scifi year1999,dealofalifetime
UglyDolls (2019),adventure animation children comedy fantasy year2019,uglydolls
"Pagemaster, The (1994)",action adventure animation children fantasy year1994,thepagemaster
Scooby-Doo! Mask of the Blue Falcon (2012),adventure animation children comedy fantasy year2012,scoobydoomaskofthebluefalcon
Wonder Park (2019),adventure animation children comedy fantasy year2019,wonderpark
Slipstream (2007),comedy drama fantasy mystery scifi thriller year2007,slipstream
Dragons: Dawn Of The Dragon Racers (2014),adventure animation children comedy fantasy year2014,dragonsdawnofthedragonracers
Alpha and Omega (2010),adventure animation children comedy romance year2010,alphaandomega
'Hellboy': The Seeds of Creation (2004),action adventure comedy documentary fantasy year2004,hellboytheseedsofcreation
The Dragon Spell (2016),adventure animation children comedy fantasy year2016,thedragonspell
Missing Link (2019),adventure animation children comedy fantasy year2019,missinglink
Scooby-Doo! Camp Scare (2010),adventure animation children comedy mystery year2010,scoobydoocampscare
Scooby-Doo! and the Curse of the 13th Ghost (2019),adventure animation children comedy mystery year2019,scoobydooandthecurseofthe13thghost
WALL·E (2008),adventure animation children romance scifi year2008,walle
Anastasia (1997),adventure animation children drama musical year1997,anastasia
Cinderella III: A Twist in Time (2007),animation children fantasy musical romance year2007,cinderellaiiiatwistintime
Mobile Suit Gundam II: Soldiers of Sorrow (1981),action adventure animation drama scifi war year1981,mobilesuitgundamiisoldiersofsorrow
The Slipper and the Rose: The Story of Cinderella (1976),adventure children fantasy musical romance year1976,theslipperandtherosethestoryofcinderella
Longshot (2001),action comedy crime drama romance thriller year2001,longshot
Faust: Love of the Damned (2001),action drama fantasy horror scifi thriller year2001,faustloveofthedamned
Holiday (2006),action children comedy crime drama romance year2006,holiday
"Incredibles, The (2004)",action adventure animation children comedy year2004,theincredibles
The Lego Movie 2: The Second Part (2019),action adventure animation children comedy year2019,thelegomovie2thesecondpart
Mobile Suit Gundam I (1981),action adventure animation drama scifi war year1981,mobilesuitgundami
Pokémon 4Ever: Celebi - Voice of the Forest (2001),adventure animation children fantasy scifi year2001,pokmon4evercelebivoiceoftheforest
LEGO DC Comics Super Heroes: Justice League: Cosmic Clash (2016),action adventure animation children comedy year2016,legodccomicssuperheroesjusticeleaguecosmicclash
Little Nemo: Adventures in Slumberland (1992),adventure animation children drama fantasy year1992,littlenemoadventuresinslumberland
Yellow Submarine (1968),adventure animation comedy fantasy musical year1968,yellowsubmarine
Zootopia (2016),action adventure animation children comedy year2016,zootopia
Cinderella (1950),animation children fantasy musical romance year1950,cinderella
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),adventure animation comedy fantasy romance year1992,porcorossocrimsonpigkurenainobuta
Kung Fu Panda: Secrets of the Scroll (2016),action adventure animation children comedy year2016,kungfupandasecretsofthescroll
Gamera 2: Attack of the Legion (1996),action drama fantasy horror scifi thriller year1996,gamera2attackofthelegion
The Angry Birds Movie 2 (2019),action adventure animation children comedy year2019,theangrybirdsmovie2
Cardcaptor Sakura: The Sealed Card (2000),adventure animation comedy fantasy romance year2000,cardcaptorsakurathesealedcard
Delgo (2008),adventure animation comedy fantasy romance year2008,delgo
Pokémon: The First Movie (1998),adventure animation children fantasy scifi year1998,pokmonthefirstmovie
Dilwale (2015),action children comedy crime drama romance year2015,dilwale
"Princess and the Frog, The (2009)",animation children fantasy musical romance year2009,theprincessandthefrog
Don (1978),action comedy crime drama musical thriller year1978,don
Song of the Thin Man (1947),comedy crime drama musical mystery romance year1947,songofthethinman
Asterix and Cleopatra (Astérix et Cléopâtre) (1968),action adventure animation children comedy year1968,asterixandcleopatraastrixetcloptre
Black Magic (1944),comedy crime drama horror mystery thriller year1944,blackmagic
Asterix and the Gauls (Astérix le Gaulois) (1967),action adventure animation children comedy year1967,asterixandthegaulsastrixlegaulois
Niko & the Way to the Stars (a.k.a. The Flight Before Christmas) (Niko - Lentäjän poika) (2008),adventure animation children drama fantasy year2008,nikothewaytothestarsakatheflightbeforechristmasnikolentjnpoika
Watership Down (1978),adventure animation children drama fantasy year1978,watershipdown
Mobile Suit Gundam III: Encounters in Space (1982),action adventure animation drama scifi war year1982,mobilesuitgundamiiiencountersinspace
Teenage Mutant Ninja Turtles: Turtles Forever (2009),action adventure animation comedy thriller year2009,teenagemutantninjaturtlesturtlesforever
Macross: Do You Remember Love? (1984),action adventure animation drama scifi war year1984,macrossdoyourememberlove
Bolt (2008),action adventure animation children comedy year2008,bolt
Under New Management (2009),action comedy crime drama romance thriller year2009,undernewmanagement
"Flight of Dragons, The (1982)",adventure animation children drama fantasy year1982,theflightofdragons
Kiki's Delivery Service (Majo no takkyûbin) (1989),adventure animation children drama fantasy year1989,kikisdeliveryservicemajonotakkybin
Dragon Attack (1983),action adventure comedy crime thriller war year1983,dragonattack
A Tree of Palme (2002),adventure animation drama fantasy romance year2002,atreeofpalme
Race to Witch Mountain (2009),adventure children fantasy scifi thriller year2009,racetowitchmountain
Scooby-Doo! Shaggy's Showdown (2017),animation children comedy mystery western year2017,scoobydooshaggysshowdown
One Piece: The Movie (2000),action adventure animation comedy fantasy year2000,onepiecethemovie
The Magical Legend of the Leprechauns (1999),adventure children comedy fantasy romance year1999,themagicallegendoftheleprechauns
Minions: Training Wheels (2013),adventure animation children comedy scifi year2013,minionstrainingwheels
Titan A.E. (2000),action adventure animation children scifi year2000,titanae
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),adventure animation fantasy musical scifi year2003,interstella5555the5toryofthe5ecret5tar5ystem
Strange Days (1995),action crime drama mystery scifi thriller year1995,strangedays
North by Northwest (1959),action adventure mystery romance thriller year1959,northbynorthwest
One Piece Film: Strong World (2009),action adventure animation comedy fantasy year2009,onepiecefilmstrongworld
Happy New Year (2014),action comedy crime drama musical romance year2014,happynewyear
Planet 51 (2009),adventure animation children comedy scifi year2009,planet51
LEGO Hero Factory: Savage Planet (2011),action adventure animation children scifi year2011,legoherofactorysavageplanet
"White Sun of the Desert, The (Beloe solntse pustyni) (1970)",action adventure comedy drama romance war year1970,whitesunofthedesertthebeloesolntsepustyni
The Pirates of Tortuga: Under the Black Flag (2001),adventure animation children comedy scifi year2001,thepiratesoftortugaundertheblackflag
Mr. Bug Goes to Town (1941),animation children comedy fantasy musical year1941,mrbuggoestotown
Kim Possible Movie: So the Drama (2005),action adventure animation children drama year2005,kimpossiblemoviesothedrama
"Green Hornet, The (2011)",action comedy crime fantasy thriller imax year2011,thegreenhornet
Buzz Lightyear of Star Command: The Adventure Begins (2000),adventure animation children comedy scifi year2000,buzzlightyearofstarcommandtheadventurebegins
Berserk: The Golden Age Arc - The Egg of the King (2012),action adventure animation fantasy horror year2012,berserkthegoldenagearctheeggoftheking
Chitty Chitty Bang Bang (1968),adventure children comedy fantasy musical year1968,chittychittybangbang
"Gruffalo, The (2009)",adventure animation children comedy drama year2009,thegruffalo
"Kid in King Arthur's Court, A (1995)",adventure children comedy fantasy romance year1995,akidinkingarthurscourt
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),action adventure animation scifi thriller year1990,dragonballzthemovietheworldsstrongestakadragonballzthestrongestguyintheworlddoragonbruzkonoyodeichibantsuyoiyatsu
Rise of the Guardians (2012),adventure animation children fantasy imax year2012,riseoftheguardians
Scooby-Doo (2002),adventure children comedy fantasy mystery year2002,scoobydoo
Home on the Range (2004),animation children comedy musical western year2004,homeontherange
Ichi the Killer (Koroshiya 1) (2001),action comedy crime drama horror thriller year2001,ichithekillerkoroshiya1
Teen Titans: Trouble in Tokyo (2007),action adventure animation children scifi year2007,teentitanstroubleintokyo
Deadly Signal (2016),crime drama horror mystery scifi thriller year2016,deadlysignal
"Little Mermaid, The (1989)",animation children comedy musical romance year1989,thelittlemermaid
Blood Diamond (2006),action adventure crime drama thriller war year2006,blooddiamond
Kaena: The Prophecy (Kaena: La prophétie) (2003),action adventure animation children scifi year2003,kaenatheprophecykaenalaprophtie
How to Train Your Dragon (2010),adventure animation children fantasy imax year2010,howtotrainyourdragon
"Wiz, The (1978)",adventure children comedy fantasy musical year1978,thewiz
"Polar Express, The (2004)",adventure animation children fantasy imax year2004,thepolarexpress
Fantastic Mr. Fox (2009),adventure animation children comedy crime year2009,fantasticmrfox
King of Thorn (King of Thorns) (Ibara no O) (2009),adventure animation horror scifi thriller year2009,kingofthornkingofthornsibaranoo
Armitage: Dual Matrix (2002),action adventure animation scifi thriller year2002,armitagedualmatrix
"Grand Day Out with Wallace and Gromit, A (1989)",adventure animation children comedy scifi year1989,agranddayoutwithwallaceandgromit
Luis and the Aliens (2018),adventure animation children comedy scifi year2018,luisandthealiens
Open Season (2006),adventure animation children comedy imax year2006,openseason
Tekkonkinkreet (Tekkon kinkurîto) (2006),action adventure animation crime fantasy year2006,tekkonkinkreettekkonkinkurto
George and the Dragon (2004),action adventure children comedy fantasy year2004,georgeandthedragon
King Kong (1976),adventure fantasy romance scifi thriller year1976,kingkong
Sword Art Online The Movie: Ordinal Scale (2017),action adventure animation fantasy scifi year2017,swordartonlinethemovieordinalscale
True Lies (1994),action adventure comedy romance thriller year1994,truelies
Lemonade Joe (Limonádový Joe aneb Konská opera) (1964),adventure comedy musical romance western year1964,lemonadejoelimondovjoeanebkonskopera
Snow White and the Seven Dwarfs (1937),animation children drama fantasy musical year1937,snowwhiteandthesevendwarfs
Green Lantern: First Flight (2009),action adventure animation fantasy scifi year2009,greenlanternfirstflight
Mio in the Land of Faraway (Mio min Mio) (1987),adventure children drama fantasy mystery year1987,miointhelandoffarawaymiominmio
Cars 2 (2011),adventure animation children comedy imax year2011,cars2
Once Upon a Warrior (Anaganaga O Dheerudu) (2011),action adventure fantasy musical romance year2011,onceuponawarrioranaganagaodheerudu
Immortel (ad vitam) (Immortal) (2004),action adventure animation fantasy scifi year2004,immorteladvitamimmortal
Demon Hunter (2016),action adventure fantasy horror thriller year2016,demonhunter
"Goonies, The (1985)",action adventure children comedy fantasy year1985,thegoonies
Afro Samurai (2007),action adventure animation drama fantasy year2007,afrosamurai
Professor Layton and the Eternal Diva (Eiga Reiton-kyôju to eien no utahime) (2009),action adventure animation mystery scifi year2009,professorlaytonandtheeternaldivaeigareitonkyjutoeiennoutahime
Princess Mononoke (Mononoke-hime) (1997),action adventure animation drama fantasy year1997,princessmononokemononokehime
Karas: The Prophecy (2005),action adventure animation fantasy scifi year2005,karastheprophecy
Escaflowne: The Movie (Escaflowne) (2000),action adventure animation drama fantasy year2000,escaflownethemovieescaflowne
"Rescuers, The (1977)",adventure animation children crime drama year1977,therescuers
Sword Art Online Extra Edition (2013),action adventure animation drama fantasy year2013,swordartonlineextraedition
"Aerial, The (La antena) (2007)",adventure fantasy filmnoir mystery scifi year2007,aerialthelaantena
Lara Croft Tomb Raider: The Cradle of Life (2003),action adventure comedy romance thriller year2003,laracrofttombraiderthecradleoflife
Bulldog Drummond's Peril (1938),adventure crime mystery romance thriller year1938,bulldogdrummondsperil
Pocahontas (1995),animation children drama musical romance year1995,pocahontas
Scooby-Doo 2: Monsters Unleashed (2004),action adventure children comedy mystery year2004,scoobydoo2monstersunleashed
Izo (2004),action drama fantasy horror thriller war year2004,izo
Heavy Metal 2000 (2000),action adventure animation fantasy scifi year2000,heavymetal2
Madagascar 3: Europe's Most Wanted (2012),adventure animation children comedy imax year2012,madagascar3europesmostwanted
Shinbone Alley (1970),animation comedy fantasy musical romance year1970,shinbonealley
Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989),action adventure animation fantasy scifi year1989,dragonballzdeadzonedoragonbruz1oranogohanwokaese
"Sorcerer's Apprentice, The (2010)",action adventure children comedy fantasy year2010,thesorcerersapprentice
Neo Tokyo (1987),adventure animation fantasy horror scifi year1987,neotokyo
Samurai X: Trust & Betrayal (1999),action adventure animation drama romance year1999,samuraixtrustbetrayal
"Iron Giant, The (1999)",adventure animation children drama scifi year1999,theirongiant
Happy Feet (2006),adventure animation children comedy imax year2006,happyfeet
Renaissance (2006),action animation filmnoir scifi thriller year2006,renaissance
Fallen (2016),adventure drama fantasy romance thriller year2016,fallen
Watchmen (2009),action drama mystery scifi thriller imax year2009,watchmen
"Hunchback of Notre Dame, The (1996)",animation children drama musical romance year1996,thehunchbackofnotredame
Ghilli (2004),action adventure children comedy romance year2004,ghilli
Time at the Top (1999),adventure children fantasy mystery scifi year1999,timeatthetop
Nikitich and The Dragon (2006),adventure animation comedy drama fantasy year2006,nikitichandthedragon
After School Midnighters (Hôkago middonaitâzu) (2012),action animation children comedy fantasy year2012,afterschoolmidnightershkagomiddonaitzu
Corpse Bride (2005),animation comedy fantasy musical romance year2005,corpsebride
Final Fantasy VII: Advent Children (2004),action adventure animation fantasy scifi year2004,finalfantasyviiadventchildren
Three Wishes for Cinderella (1973),adventure children drama fantasy romance year1973,threewishesforcinderella
Goosebumps: Haunted Halloween (2018),adventure children comedy fantasy horror year2018,goosebumpshauntedhalloween
Kismet (1955),adventure comedy fantasy musical romance year1955,kismet
The Addams Family (2019),animation children comedy fantasy horror year2019,theaddamsfamily
Teenage Mutant Ninja Turtles III (1993),action adventure children comedy fantasy year1993,teenagemutantninjaturtlesiii
Captain EO (1986),adventure children comedy musical scifi year1986,captaineo
Beowulf (2007),action adventure animation fantasy imax year2007,beowulf
